city,country,id,lat,long,temp,max_temp,humidity,cloud_coverage,wind_speed
Araçatuba,BR,3471859,-21.21,-50.43,71.2,71.2,49,22,6.73
Comodoro Rivadavia,AR,3860443,-45.87,-67.5,39.2,39.2,64,0,10.29
Cap Malheureux,MU,934649,-19.98,57.61,66.99,66.99,82,32,4.0
Touros,BR,3386213,-5.2,-35.46,71.6,71.6,94,75,4.7
Río Gallegos,AR,3838859,-51.62,-69.22,28.4,28.4,86,13,8.05
Mahébourg,MU,934322,-20.41,57.7,64.4,64.4,93,75,4.7
Roebourne,AU,2062276,-20.78,117.13,73.2,73.2,24,6,16.08
Yeppoon,AU,2142316,-23.13,150.73,71.6,71.6,26,0,9.17
Rio Grande,BR,3451138,-32.03,-52.1,52.0,52.0,96,100,6.71
Kasama,ZM,912764,-10.21,31.18,48.42,48.42,96,0,3.13
Montepuez,MZ,1037125,-13.13,39.0,61.7,61.7,91,0,8.21
Banjar,ID,1650232,-8.19,114.97,80.6,80.6,74,40,18.34
Sorong,ID,1626542,-0.88,131.25,83.19,83.19,75,84,9.48
Bengkulu,ID,1649150,-3.8,102.27,80.56,80.56,67,100,5.57
Carnarvon,AU,2074865,-24.87,113.63,66.2,66.2,68,0,13.87
Pemba,MZ,1028918,-12.97,40.52,69.4,69.8,94,40,17.22
Tiarei,PF,4033356,-17.53,-149.33,82.4,82.4,69,20,13.87
Santa Maria,BR,3450083,-29.68,-53.81,59.0,59.0,93,75,3.36
Ancud,CL,3899695,-41.87,-73.82,38.01,41.0,100,40,1.12
Bambous Virieux,MU,1106677,-20.34,57.76,65.61,66.99,93,75,4.7
Serowe,BW,933088,-22.38,26.72,41.83,41.83,90,0,5.91
Kaitangata,NZ,2208248,-46.28,169.85,48.99,48.99,68,100,5.01
Río Cuarto,AR,3838874,-33.13,-64.35,41.0,41.0,52,90,5.82
Hokitika,NZ,2206894,-42.72,170.97,54.91,54.91,63,100,5.17
Katherine,AU,2068655,-14.47,132.27,77.0,77.0,16,11,14.99
Namatanai,PG,2090021,-3.67,152.43,85.46,85.46,66,11,6.76
Jambi City,ID,1642858,-1.6,103.62,81.16,81.16,71,94,5.77
Charlestown,AU,2171766,-32.95,151.67,56.32,57.0,98,100,1.99
Nelson Bay,AU,2155562,-32.72,152.15,55.74,55.99,100,90,20.8
Prieska,ZA,964090,-29.66,22.75,45.03,45.03,52,0,1.48
Souillac,MU,933995,-20.52,57.52,64.4,64.4,93,75,4.7
Palu,ID,1633034,-0.89,119.87,88.25,88.25,51,69,0.38
Haapiti,PF,4034438,-17.57,-149.87,82.4,82.4,69,20,13.87
Bima,ID,1648759,-8.47,118.72,82.29,82.29,56,22,7.74
Tocopilla,CL,3869716,-22.09,-70.2,58.33,58.33,59,8,1.48
Neuquén,AR,3843123,-38.95,-68.06,39.2,39.2,69,0,2.24
Maceió,BR,3395981,-9.67,-35.74,71.6,71.6,94,75,3.36
Neiafu,TO,4032420,-18.65,-173.98,77.0,77.0,83,40,9.17
Harrismith,ZA,997751,-28.27,29.13,35.13,35.13,88,0,6.4
Kieta,PG,2094027,-6.22,155.63,85.26,85.26,63,44,3.13
Sola,VU,2134814,-13.88,167.55,80.51,80.51,83,73,22.68
Gamba,GA,2400547,-2.65,10.0,71.31,71.31,83,32,5.23
Katobu,ID,1640972,-4.94,122.53,83.35,83.35,62,98,7.43
Byron Bay,AU,2172880,-28.65,153.62,66.06,66.99,45,6,10.29
Itacaré,BR,3460940,-14.28,-39.0,72.28,72.28,87,0,8.12
Serenje,ZM,898912,-13.23,30.24,51.44,51.44,80,4,10.96
Belmonte,BR,3470137,-15.86,-38.88,69.8,69.8,83,40,4.7
Vanimo,PG,2084442,-2.67,141.3,86.43,86.43,59,45,5.23
Kalabo,ZM,915471,-14.97,22.68,48.56,48.56,51,0,5.93
Broken Hill,AU,2173911,-31.95,141.43,51.8,51.8,62,0,17.22
Dunedin,NZ,2191562,-45.87,170.5,53.2,55.0,55,100,1.01
Balikpapan,ID,1650527,-1.27,116.83,80.6,80.6,94,40,6.93
Miguelópolis,BR,3457192,-20.18,-48.03,70.34,70.34,56,9,8.01
Faanui,PF,4034551,-16.48,-151.75,79.07,79.07,80,81,14.16
Mulanje,MW,925789,-16.03,35.5,57.97,57.97,89,16,6.02
Coyhaique,CL,3894426,-45.58,-72.07,32.0,32.0,84,75,2.24
Mwinilunga,ZM,902620,-11.74,24.43,48.74,48.74,60,0,5.73
Port Macquarie,AU,2152659,-31.43,152.92,69.01,69.01,57,80,3.0
Puerto Madryn,AR,3840092,-42.77,-65.04,41.43,41.43,67,0,15.79
Launceston,AU,2160517,-41.45,147.17,53.4,54.0,76,29,18.34
Necochea,AR,3430443,-38.55,-58.74,42.01,42.01,91,63,8.01
Valdivia,CL,3868707,-39.81,-73.25,39.2,39.2,100,20,1.57
Dzaoudzi,YT,921900,-12.79,45.27,71.6,71.6,83,90,17.22
Andilamena,MG,1076194,-17.02,48.58,58.39,58.39,96,99,3.47
Coquimbo,CL,3893629,-29.95,-71.34,51.8,51.8,87,0,1.12
